Corpus,System,BLEU (0-1),BERTScore (0-1),chrF++ (0-100),COMET (-1 to 1)
TED,DeepL,0.0215,0.5546,28.45,0.72
TED,Google Translate,0.2841,0.5561,45.23,0.78
TED,GPT-4,0.0401,0.5579,32.18,0.74
TED,Grok-2,0.1455,0.5584,38.92,0.76
TED,Gemini-2.5,0.2926,0.5566,46.15,0.81
UNPC,DeepL,0.3973,0.5985,58.23,0.85
UNPC,Google Translate,0.6586,0.5736,72.45,0.88
UNPC,GPT-4,0.3534,0.6012,55.67,0.82
UNPC,Grok-2,0.3583,0.5622,56.89,0.83
UNPC,Gemini-2.5,0.5779,0.59,68.34,0.9
OpenSubtitles,DeepL,0.0186,0.5897,25.67,0.71
OpenSubtitles,Google Translate,0.1605,0.5897,38.45,0.75
OpenSubtitles,GPT-4,0.0637,0.6505,32.18,0.78
OpenSubtitles,Grok-2,0.0446,0.6035,29.34,0.74
OpenSubtitles,Gemini-2.5,0.1791,0.7761,42.56,0.88
